authors,comments
Mahesa Jenar,Saya sebagai rakyat kecik sudah muak dg janji&quot; kampanya para capres... Dari semua pemilu banyak capres&quot; yg mngumbar janji politik tapi setelah menjabat belum tentu bisa menepati janjinya... Karena setiap kali ganti pemimpin mereka pasti tidak melanjutkan program pemimpin terdahulu.
Muhammad Rizky,Pak Ganjarrr yess
I0S,"Siapapun presiden, mudah mudahan amanah. 🇮🇩❤❤❤"
Nur Setiawan,Ganjar siji Ganjar kabeh 🎉🎉🎉
Iswantoro Yudi,Pak GANJAR pancen 👍👍👍ngetennnn
Bunyamin Bin Yahya,Ini akan semakin meningkat seiring waktu berjalan karena rakyat dan bangsa Indonesia sudah lelah dengan segala macam persoalan yang dihadapi negri ini terutama sekali yang berkaitan dengan yang berbau radikalisme dan politik identitas.. Rakyat dan Bangsa Indonesia sangat merindukan politik santun dan berkepribadian dan mengedepankan sebuah gagasan yang luhur dan itu semua hanya ada dan hanya dimiliki oleh sosok seorang anak bangsa yang paling relevan untuk itu.. yaitu Mas Bro Ganjar Pranowo
Mentari Di upuk timur,Survei bohongan untuk menarik simpati rakyat.
Eby Saputra,Pertanyaan nya ini lembaga survei lewat mana mereka mengsurvei kita rakyat biasa di sini aja belum pernah tuh di tanya satu persatu apa pilih pilpres anda kok bisa tau taunya unggul 😅😅😂😂😂😂😂😂😂😂😂
Nasrul Nr,"Saya orang Sulsel, mayoritas di sni mendukung Anies tpi saya tetap mendukung Ganjar,, walaupun sebelumnya saya kadeer Nasdem"
Min Chyun,Jangan lupa Bismillah❤
Yoga Reynanda,Prabowo pemimpin terbaik dan sangat cocok jadi presiden RI ya lain masih amatir
Ausie 74,Survey electabilitas Anak-anak 😀🤣😀
Hola75,Tak ada yang menarik
Abe_89,Bismillah ganjar
Uchox Nasution,Prabowo bagus tapi sudah kurang produktif karena faktor usia. Ganjar bagus dan produktif...
Uchox Nasution,Alhamdulillah...
Erik,Klu sy lebih yakin dg Pak Anis
Mella 124,"Rakyat GK butuh survey,,"
Mella 124,"Klo GK jadi ngamuk,atau berkata curang,karena survey tinggi,jgn salahin rakyat,salahin yg survey loh"
Menclank Geming,CUMA PAK ANIES YG LAYAK JD PRESIDEN RI 2024....SMART N GAK  PLONGA PLONGO👍👍👍
N Meci,Jadi ingat pilgub dki. Hasil survey anies ditempatkan di urutan buncit tapi akhirnya jadi pemenang😂😂
Verolista Safitri,Ganjar yes..
Ahmad Hasibuan,Survey😂😂😂
Azrul Azis,Survey independe diindonesia timur untuk anis<br>Sullawesi selatan 87%<br>Suawesi tenggara 75%<br>Sulawesi tengah 66%<br>Sulawesi barat 80%<br>Sulawesi utara 35%<br>Maluku tengah 45%<br>Maluku utara 70%<br>Maluku tenggara 40%<br>Papua  35%<br>Papua barat 57%
Ady Bdg,Iya udah iya 😭😭😭😭
MatiusTony Samara,Ganjar RI 1 yes
kata bijak99,Prediksi angin saya tetap prabowo
kata bijak99,Prabowo president❤
angga putra,Semoga pak ganjar jadi presiden dunia maya.AMINNN
Mutiara Islam Official,Presiden palestina
Hari Yunal,Bolehlah fanatik..tp ga gitu2 amatlah..buka mata.pasang telinga..udh jelas2 gak ad kemajuan eeeee malah didukung jg.jangan salahkan pemerintah nantik kalau negri ini tambah ancurrr
Hari Yunal,Saya pilih p.Anis baswedan
Mustaqien Mustaqien,"Warga wadas di tindas kenapa elektabilitas ganjar yg di atas...  <br>Bos sayuran saja ketika di pasar pasti mencari untung, apalagi bos lembaga survei..  <br>Alhmdllah rakyat sudah semakin cerdas"
Aji Purnomo Ashter,Ganjar akan Tumbang di lap ke 2
Mburi Omah Studio,Emang ngaco survey&quot; ky gini
Siswanto Susilo,Yang penting bukan anis..
Totok Malaon,Survei bayaran yang punya uang banyak pasti di UNGGULAKAN.
Dwiky Darmawan,Ganjar pranowo Andika perkasa
Dwiky Darmawan,Ganjar pranowo Andika perkasa
Dwiky Darmawan,Ganjar pranowo Andika perkasa.
Dwiky Darmawan,Semoga pak Andika perkasa dicalonkan jadi wakil Pak Ganjar pranowo.!
nataliuss,Top Ganjar Pranowo. Asli pribumi
Adhi Suwedi,Sufay gj netral
Hafiz Bungo,Asal jgn anis yg masuk ke putaran ke 2..
Amanda Chanel,Porno akan laris😂😂
Garong Anggaran,Ente kandrun 😁😁😁
Susatio,Pilihan saya<br>Presidennya Mahfud MD<br>Wapresnya Gibran raka bumi
Rifky Prayoga,Prabowo mahfud
Erwin Zulkarnain,Waw survey nya dimana itu?😂
Solder Bengkong,Apa pun presiden nya kita tetap makan nasi.. Memilihlah krn kerja nya bukan karna janji2 nya.. Karna Semua Kandidat fanatik dan tidak melambangkan bineka tunggal ika jadi saya tidak memilih semua..
Batam Botania,Ganjar  2024
Sulastri Sulastri,"Ya memang paling cocok pak ganjar gesit, lincah mirip pak jokowi"
Ngatemi Aja,Antaaap p ganjar
Tanda Tambunan,Masuk akal
pain akatsuki,"Sebaiknya prabowo dan anis tidak usah capek capek buang buang duit waktu dan tenaga ikut capres, percuma karena pemilu mendatang akan seperti pemilu yg lalu, kecurangan terjadi dmn mana, terutama di daerah terpencil, PDIP, Megawati dan polis sebagai loyalis dan tunduk sepenuhnya kpd perintah mega akam berusaha dgn cara apapun untuk menang. Yg pasti polis tidak mau klu prabowo jadi presiden itu jelas"
Baby Iog,Prabowo sih.percya banget sama beliau
Tele Mbeseng,NTT merasakan pembangunan Pak Jokowi...auto pilih Ganjar utk meneruskannya
Sean martinez,"Makjoss Ganjar ,pribumi asli ❤️"
75 tahun,"2024 milik Prabowo. Pilihan paling aman dengan resiko paling minim. Anies cuma jadi bahan uji coba Nasdem. Tujuan utamanya mengerek perolehan suara partai. Ganjar, sudahlah. PDIP terlalu offside karena ulah ugal-ugalan Jokowi. Bakal jatuh perolehan suara Ganjar."
Vivo Y21,"hrus berani mengambil kebijakan baru dan nuansa yg tdk melupakan  kebijakan pak jokowi, saya lebih percaya dgn pak prabowo sbg presiden selanjutnya.."
Koi Iwak,"Prabowo saatnya diberi kesempatan  memimpin negeri ini,, prabowo orang jujur dan iklas"
Anjing Pisan,Ketiga tapi selalu di takuti oleh gerombolan oligarki
MadSu,Cukup Timnas dan Sungai saja yang di Naturalisasi kl Presiden tetap yg bukan Naturalisasi
Aji Pangestu,Pa Prabowo Subianto jgn egois jadi wapres Ganjar saja kalou benar tujuanya ingin memakmurkan rakyat Indonesia dan Indonesia maju
Tele Mbeseng,NTT dukung penuh Pak Ganjar
Yanteio Channel,Faktanya pak prabowo bkalan the next president
Yus Yus,Hidup probowo
Eza Rahmat,"Ada yang lebih baik dari anis &amp; prabowo,  Ganjar terbukti 2x terpilih menjadi gubernur jawa tengah tanpa politik identitas dan tanpa kampanye hoax dan udh berhasil mengungguli elaktibilitas puan yang didukung elit partai bahkan untuk jateng dan jatim udah mengalahkan elaktibilitas prabowo puan anis dan airlangga dan nantinya akan menundukkan anis &amp; prabowo di pilpres karena Ganjar memang cerdas dan mampu menjadi pemimpin nasional bismillahhirohman Ganjar menjadi presiden RI 2024amin ya robbal alamin"
Wawan Karnawan,"Belum tahu pak Anis ya,lihat nanti,waktunya gak bakala ada photo sy di situ."
Agus Mulyadi,Mlih  ganjar biar melanjutkan  pembangunan  jokowi  lanjutkan
sugi indriyono,Insyaallah Alloh PDI Perjuangan.menang untuk calon Presiden Ganjar Pranowo
muhammad fathoni,Pendukung Ganjar = cebong<br>Pendukung anies.  = Kadrun<br>Kira kira nama buat pendukung Prabowo apa ya ???
Besama Zalukhu,Pak. Ganjar 👍
dadang rifaldi,"survei opo toh, memangnya kalian percoyo survei"
Uti Mq,InsyaAllah ganjar amanah melanjutkan perjuangan pak jokowi
Butun Adventure,Amanah mensahkan uu nonton video porno 😂😂😂
Andi Amiruddin,Sekali Anies tetap Anies survey abal2
Bapak supri Oke,Survai pesanan oligargi (bayaran)
Rivai J S Hutagalung,Bagusnya duet kan aja prabowo ganjar..
Gunawan Sulistiantara,Saya sarankan ganjar berpasangan dgn ade armando saya jamin deh 95% menang mutlak 🤣🤣🤣👎👎
Gunawan Sulistiantara,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣<br>Lembaga survei hajingan kok dipercaya
santa ahmed,Ganjar ❤❤🇮🇩🇮🇩👍
Boy Boy,<b>GANJAR PRANOWO PRESIDEN KE 8 NKRI</b> ;^
al Kausar,Relawan pak jokowi harus kompak kita menangkan ganjar pranowo pilpres 2024. Kinerja pak jokowi harus diteruskan.
姊姊,Ganjar Pranowo gaspol
merdeka hero,Survey di jawa tengah.
Ade Hidayat,Survey abal2
Iskandar Muda,GASSS terusss PK ganjar
Djulianto Rochadi,Pilpres Tahap-I: Ganjar &amp; Prabowo lolos putaran pertama. Lanjut Pilpres Tahap-II: Prabowo unggul karena pemilih Anis mayoritas akan pilih Prabowo.
Rdn Nids,Dulu pemilih Prabowo blm terpecah aja buktinya kalah.
anjrit Lah,"Sumpah saya ga percaya survey 100 persen,,semua yg ada di yotub,,bisa femanipulasi,,co,,rkya sudah pada pintar sekarang,,percuma di acrakn di tipi klw saya asli ga percaya surfey"
Rio Rio,Wkwkwk masih percaya entee sama survei surveii?? Hahahhaha
Muklas kartono,Sebaiknya Ganjar Prabowo gabung klo Prabowo kekeh RI 1 perkiraan saya Prabowo kalah lagi
Siswanto,GANJAR ❤
Eliandi Tjung,GANJAR PRANOWO RI 1👍👍👍👍
ngaji ndeso,Tapi ganjar nesti kalam lawan anis.dalam final karena akan di kerubut.
Edi Sutoko,Ganjar bossss
satrio paningit ragiel gowor. Am,bismillah pak ganjar penerus pak jokowi amin pengalaman memimpin jujur kerja nyata fakta bukan kata kata
