authors,comments
Kuswandi,"Semoga capres yg lain tetap sehat dan turut berdo&#39; a, biar Pak Ganjar saja yg jadi PRESIDEN!<br>😂😂😂😂😂😂😂😂😂😂😂😂😂Hareudang....hareudang....hareudaaangngng.....nanas...nanas...nanaaassss......"
RFA CHANNEL,Pembodohan dan pembohongan publik survey ARB selalu kalah karena membela yang bayar padahal di lapangan ARB selalu di tunggu tunggu rakyat..
Sang Pengelana,Ganjar Pranowo ternyata menerima anu Mega proyek E-KTP 😮😮
Sang Pengelana,"@Mawar Merah bukan fitnah tapi nyata,, Nazaruddin jujur pa adanya krna posisi di tersangka bohong tiada gunanya,, mungkin Ganjar dilindungi petinggi partai yang saat itu sedang berkuasa 😂"
Mawar Merah,Mulai menebar HOAK &amp; FITNAH....☝️☝️💥💥<br>Smg ALLAH segera  memberikan ganjaran &amp; keadilan pd org2 yg sirik &amp; suka menyebar Fitnahan ini....<br>AMIN....🤲🤲
Aimar Adistyo,Petugas partai ...no petugas Rakyat ...ok...Anies masa depan perubahan dan persatuan no nurut sama oligargi
backbone,nies juga petugas  partai dr nasdem
Aimar Adistyo,"Survei ....pesanan sudah di setting bro , ...."
Tomi Kartomi,Preed
Rais Rosadi,Percaya sama survai..<br>Bukti rakyat menginginkan pak Anis
Didik kuswandi,Bagi yg tidak suka pasti bilang survei bisa dibeliiiii ...
yayan alfian,Ganjar puan for presiden 2024
Reza Pahlevi,Dari 2019 semua org udah tau.. semua media di kuasai
Ahmad Holian,prabowo lah org nya tulus dan iklas
backbone,"Prabowo orang yg otoriter,berbahaya buat kelangsungan sistem demokrasi di indonesia"
Rudy H Worotikan,"Prabowo Subianto petugas rakyat bukan petugas partai &amp; Prabowo Subianto Presiden RI 2024, Amin 🙏"
HARRY NOTOPROJO,Ganjar pranowo capres pilihan terbaik
Chairul B,Pak Ganjar 🤲🏻
Nyoman Susanto,Ayo bersama Ganjar Pranowo RI1
pecinta alam Sumatra 99,"Namany lah surve 😂😂😂 penghargaan aja dadakan ,setelah di calonkn tiba&quot; jateng di sebut terbaik ,,,padhal belum lama trimedia katakan jateng masuk 17 provinsi termiskn ,puan juga mengatakan di jateng jarang mandi ,,,kan sesuatu yg aneh kok tiba&quot; terbaik ,,,,hanya orang bodoh yg bisa di bodohi pecitraan"
Suyanto Barkah,apapun suku dn golongan nya gp lah persiden nya
Ira Ari,Alhamdulillah Ganjar selalu naik!❤🤟👍
Giyu Tomioka,@Surya Taufik malah dalam survey DKI yang terbesar angka kemiskinan
Giyu Tomioka,@Surya Taufik DKI emang ga miskkin
Surya Taufik,Naikkan angka kemiskinan dipropinsinya
La' Viory,Aamiin YRA
Gibernau 27,Putaran ke 2 suara anies di berikan kpd prabowo😅😅😅
Nyonya Arzu Emiroglu,Alhamdulillah elektabilitas Pak Ganjar masih teratas semoga sehat selalu dan terus naik 📈💪🥰🇮🇩🙏🤟
Dani Boy,​@Ubai Dillah klw junjungan loe ngelus2 yg bening tuh halal gitu ya
N Meci,Jadi ingat pilgub dki. Hasil survey anies ditempatkan di urutan buncit tapi akhirnya jadi pemenang😂😂
אַבְרָהָם,Preeet😂😂🤣🤣
Petrus Petrus,@H Sujak sakit hati ya
Petrus Petrus,@Ubai Dillah sakit hati ya
Dodi Sahputra,Ganjar Pranowo
BAKA DEPAI,"2 x gak milih pak Prabowo, kali ini saya pastikan dan yakin memilih pak Prabowo.<br>2024 PRABOWO R1 🙏"
backbone,Mengapa??pdhal keliatan se x orangnya emosional sehingga cenderung bersikap otoriter
Amel Amel,Saya tinggal di Aceh...saya dukung Pak Ganjar..
backbone,"Saya tinggal dijakarta dan lahir dijakarta maka gak akan pilih pemimpin yang suka membual seprtti anies karena sudah mengecewakan dalam menjanjikan rumah dp 0 Rp dan prgram oke oce serta reklamasi yg brrjalan lg setlah dulu.wktu kampanye ditolaknya,lalu banyak.lagi kinerja yg mengecewakannya"
Ubai Dillah,Dan saya juga tinggal di Banten saya dukung pak Anis
Alma Muhamad,Saya tinggal di Banten siap dukung Bapsk ANIES RADYID BASWEDAN
TONI DS SUHARTONO,BoooHiiiRRRR 👏👍🏾
Dema Rahmah,tetap pak ganjar RI 1 2024 ❤️🇲🇨
Tar Sono,Ooh gitu ya... komennya pada lucu dan imut 😆😆😆😆😆
Ms,Hahahaha
supardi pardi,sekali Ganjar tetep Jos
cintai musik indo,@Olun Setrum kadrun apalagi bisa jadi gurun pasir indonesia jangan pilih anis dan partai2 kadrun
Olun Setrum,Siapapun presiden nya jgn pilih banteng
Darmawan M,​@Ubai Dillahy...bakalan keok lg di 2024
cintai musik indo,@deAthoo_Channel itu survey sebelum 21 april dodol wktu upaya si nurdin kualisi besar koar2 wkwkwkwk mana nurdin sekarang ngumpet dia
deAthoo_Channel,Ganjar kalah head to head lwn prabowo 49% vs 40%
Irwan Kertajaya,Wkwkwk
xpander 89,JANGAN  JADI PATOKAN SURVAI  KARNA SURFAINYA SUDAH HAMIL DULUAN   NANTI KALAU LAHIRNYA HASIL DI LUAR NIKAH HASILNYA BUDEQ  POLONGAK PLONGOK KAYAK AYAM DI KEBIRI   MAKA DARI ITU  JAWABANYA  ANESLAH ORANG YANG PANTAS  R1        1
Emma Emma,GANJAR PILIHAN JOKOWI...KEMAMPUAN PRESTASI DAN WAWASANNYA JAUH MELEBIHI ANIS DAN PRABOWO...GANJAR RI 1 SI 2024....
KEDUNG AVO PATI,"Ijin tanya,diantara tiga calon presiden tersebut yg bukan petugas partai yg mana ya??? Terimakasih..."
backbone,Yg namanya petugas partai itu emang salah?? Pdhal partai berbeda beda ideologis dan gaya berpolitiknya.....seperti pdi perjuangan yg menerapkan idealisme dalam berpolitik sedangkan partai partai lainnya malah ada yang berpolitik pragmatisme
binetf,"biarlah yang satu out dari jokowi, mungkin sedang beli gorengan yang masih butuh minyak goreng"
Uslan Noor Saidi,"Hasil survei tinggi namun tidak pede,  seperti takut dengan Anies Baswedan"
Tulus Wijanarko,"Apa yg di takuti dr Anies,,, kl kalah jgn bikin huru hara ya,,, jgn menyalahkan Tuhan,,"
Sudarmadji -,"<b>GANJAR 55, 7 PERSEN, GANJAR SEMAKIN TAK TERTANDINGI❤❤❤</b>"
Indar Jaya,@Iswantoro Yudi kalau saya pilihan yg paling tepat adalah.ade Armando atau giring capres<br>Cawapres nya abu janda atau Guntur Romli dan Eko Kuntadi atau Denny Siregar.
Iswantoro Yudi,"@Cipto Parmono ini jujur ya...prabowo mmng jago dibidang pertahanan n keamanan...tapi sayangnya kalah dibidang  ekonomi,pembangunan,n tata pemerintahan..."
Iswantoro Yudi,@Indar Jaya tapi mmng ada benernya juga...kbanyakan di kotaku ganjar semua...😂😂😂
Rdn Nids,"@Indar Jaya <br>Haduh, benar2 kebodohan lu sangat natural...istilah survey aja ga faham...<br>Parah lu drun....!!!"
Indar Jaya,@Moch Mahrus Mahrus kalau memang betul hasil nya lembaga surve ngapain masarakat yg nyoblos. Lembaga surve aja yg pilih presiden.
Ya yuk,Alhamdulillah Pak Ganjar sll unggul.. 👍👍 muda mudahan bisa menjadi Presiden RI 1 💪🇮🇩
adel,"Jangan dulu berpuas diri, Ganjar cs masih bisa dikalahkan pada putaran kedua berlangsung .!!!"
Prabu Kiansantang,Amiin YRA🤲
Radi Lasgab,Liat aja masarakat pilih aneis
Desa chanel Official,GANJAR PRANOWO YESSS...
Deni rahman,Mantap mas ganjar walau di kepung calon lain masih tertinggi kerja terus biar hasilnya memuaskan semoga menang
deAthoo_Channel,Ganjar kalah head to head lwn prabowo 49% vs 40%😂😂
Prabu Kiansantang,@Mawar Merah amiin🤲🙏
Mawar Merah,​@Prabu Kiansantang Amin....ya robbil alamin....🤲🤲<br>Smg doa kita semua di ijabah ALLAH....🙏🙏
Prabu Kiansantang,Amiin🤲
Kanjeng Syech,Mantab ❤❤ ganjarrr
Indro Pramudianto,Aku pilih yg muda dan pekerja keras melebihi BP Joko Widodo dalam meneruskan apa 2 yg sekarang dah dirintis Presiden kita
Suyamto Zone,Prestasi ganjar jauh di banding prabowo... Tetap prabowo presiden
Achmad Mudjajin,"ahok unggul disemua survey....kok anies menang mutlak, jangan2 surpa surpee ini hasilnya akan copas dki....Anies the next, cebi2 dilarang baper!"
ISLAM RAHMATAN LIL ALAMIN,survei nya beda2 yah
kami Indonesia tulen🇮🇩,Ganjar pancen oyyee....<br>Saya yakin Indonesia 100 tahun mendatang akan selalu di pimpin suku Jawa (🙏🏻)<br>Walaupun saya marga bancin ☺️😁
Lely Nubhaeti,Bukan .aku Yo GX Sudi wong mimpin jowo AE Ganjar Isik ancur OPO neh mimpin indonesi angel angel dunio samiki milih presiden OPO milih sengsoro awass salah pilih sebelum milih tatap dan bayangkan kedepan nya makasih
kami Indonesia tulen🇮🇩,@YONO DARYONO 🤣
bikin video,@Suhu Bekam Jamet Jawa metal perusak Indonesia
Suhu Bekam,kalahh di koyok ama bokap lou  kali yahh 😅😅😅😅
YONO DARYONO,Surve abal2 alias bayaran
Suyamto Zone,Prabowo presiden...
Juhairiyanto Ajha,1Juli...MERAHKAN INDONESIA  ...GANJAR PRANOWO...JOZZZZ👍👍👍😄
Suswanto 99,Indramayu hadir Ganjar semakin di depan salam banteng 🤟
bray,Gada kapoknya pilih banteng
Muhamad Husein,"Jangan  pilih  Kadrun , wkkwkkw"
Ontho Hoed Chanel official,Si uban Ganjar cocoknya jadi duta film Jepang 😁😁😁
Nur Setiawan,Ganjar siji Ganjar kabeh 🎉🎉 Ganjar Pranowo capres pribumi Indonesia asli 💯 tulen sejati menang 🎉🎉🎉
Anwar Bey,"Survey bayaran itu hanya utk menggiring opini publik, faktanya nanti akan kita buktikan 14 feb 2024...Insyaallah ANIES yg menjadi PRESIDEN sejatinya saat ini elektabilitas ANIES sdh sulit utk dikejar."
Rohima Tina,Saya pilih pk Anies Baswedan for RI 1 👍
Mlatikudus 5a,Tetep ganjar
Ahmad Khoiruddin,Pokoknya RI1 no cendana no cikeas👊👊👊❗️❗️❗️❗️
Zaky Zaky,​@Mawar Merah S7 no kadrun Yohanes basedan
Mawar Merah,Betul skl....&amp; sangat se 7 skl....👍👍🇮🇩🇮🇩<br>Pak GANJAR sll di nanti di 2024....<br>Untuk memimpin NKRI....!! 🇮🇩🇮🇩👍👍<br>AMIN...🤲🤲
Mlatikudus 5a,Walaaupun 1000  survey mmenangkan  ganjar xan bkal di hujat para kadrun
Mlatikudus 5a,@Ubai Dillah pki kadrun 11 12 bedanya pki dah lenyap di telan bumi kl kadrun msih mengais2 mncari makan
Zaky Zaky,Kadrun sok keras 😂😅
Ubai Dillah,Sebentar lg banyak yg jadi kadrun dadakan..saya suka di bilang kadrun dari pada pki penghianat bangsa broo
Ahmad Khoiruddin,"prabowo no, apalagi anis keturunan kadrun bodoh itu , POKONYA NO👊❗️❗️❗️ , pokonya  Harus pribumi asli dan itu hanya ada pada pakde Ganjar👍👍👍"
Jamal Udin,Hanya bisa ketawa aja...hahHHaa
Ahmad Khoiruddin,"Mosok presiden kok duda (nggak punya istri, nggak ada ibu negara berarti😅), udah mbah2 lagi, nggak lucu😅<br><br>Apa nggak malu kalau mbah wowo kalah EMPAT KALI🤭 ..."
Zaidan Revi,Inssa Allah pak ANIS pasti jadi persiden kita
AHMAD HS  GP RI 1 2024,Siap berjuang untuk Kemenangan Ganjar Pranowo untuk menjadi Presiden tahun 2024
La' Viory,Siappp
Rafanda 2018,ora milih
Amel Delifa,"GAK MAU AH... <br>Takut seperti jokowi , rumah-rumah warga dilibas jadi jalan tol , yang merugi terliunan itu ,"
Prabu Kiansantang,Siap gaskeuuun lurr💪💪
Atmopawiro,Ganjar 👍
Ahmad Khoiruddin,In syaa Allah Bung ganjar akan semakin naik👍👍👍<br><br>Pokoke gas poll💪
Suradi Suradi,​@Ubai DillahAAMIIN
La' Viory,Aamiin YRA
Ubai Dillah,Semoga ganjar hanya menang di lembaga survai aja..dan insya allah pak anis presiden 2024 saya tulus ikhlas dukung pak Anis.
Zaidan Revi,INI TUKANG SURPAI ABAL ABAL JANGAN DI PERCAYA
natanael,"Suara Pak Ganjar akan kembali sebelum blunder U20, krn ana salah satu yg sadar. Pilihan hanya GANJAR wae😆"
putri,Akan terus di ingat rakyat indonesia
Bapa Rohim,Betul saudaraku setanah Air <br>Jgn pilih keturunan yaman
Rahmat Kartolo,"Gua juga begitu, hati ga bisa diboongin.<br>GP RI 1"
Zaidan Revi,Ok pak ANIS raykyat Indonesia mendukungmu
Nadhifa Ramadani,Pastinya unggul sudah dibayar sorveynya
putripanda,biismillah barrakalloh pak ganjar terbaik
Luna Lavgood,"Buktikan tidak hanya Gub DKI yang bisa jadi batu loncatan utk jadi Presiden. Ayo para Gubernur, berkinerja dg baik sehingga layak jadi RI 1"
Al fatih,"Apa kinerja ganjar,pendukung ganjar itu org2 gak punya otak,kalian memilih dia cuma krn,kalian org jawa,kalian org kafir yg benci anis,coba apa kelebihan si rambut putih itu ??"
karikatur digital,"KADRUN ga akan percaya survei selama junjungannya berada dipaling bawah .. jangankan SURVEI , hasil PEMILU pun mereka ga percaya , tp anehnya mereka masih mau ikut  PEMILU , ibarat BOCIL yg lagi maen PS tau joystik nya rusak tp tetap maksa maen dgn alasan nanti kl kalah ya joystik nya rusak , jadi kl kalah survey atau pemilu pasti di bilang CURANG"
Lilly Ayunah,Kadrun kebanyakan bodoh
Bapa Rohim,Kadron itu salah juga masih dibilang benar <br>Antitesis😂😂😂
Rahmat Kartolo,😂😂😂😂 bener juga
Zaidan Revi,Pak ANIS  yeees
Dunia Print,"ANIES 15% DITAMBAH KEKUATAN DAHSAT DARI PARA KYAI, ULAMA DAN SANTRI...ITU FAKTA DI LAPANGAN."
ch ndeso,Kesedihan dengan akan berakhirnya jabatan pak jokowi gini terobati dengan di calonknnya pak ganjar 🤟
Zaidan Revi,Bisssmilahhirhomannirohim pilih pk ANIS aja yang jadi persiden Indonesia raya
Budi Arman,Tidak bisa pedoman survei bisa di pesan
Bunga Adi,Ganjar - Mahfud MD
Anita Ananda,"Kalau melihat situasi Dunia yg gonjang ganjing dampak dari Perang di Eropa, di perlukan kepemimpinan Nasonal yg kuat.dan itu hanya ada pada Prabowo S."
backbone,"Pidato jokowi dulu jelas bahwa ada bawahan bahwannya yg menginginkannya untukbjd presiden lagi di tahun 2024 namun langsung jokowi tolak koq malah menginstruksikan pak menkopolhukam buat pastikan jadwal pemilu 2024 yang udah direncanakan klo gak salah pd tgl 14 februari 2024. Jadi yg menginginkan jokowi 3 periode itu bukan jokowi namun orang orang yg ada disekitarnya yg punya kepentingan sendiri/golongan buat cuman menyarankan kepada jokowi begitu.<br><br>Justru saya meyakini kalo presidennya sekarang prabowo maka bisa jadi prabowo akan menyetujuinya, gue yakin itu. Karena gue dan anda lihat sendiri tayangan video wawancara jurnalis senior dari amerika yang diwawancarai oleh jurnalis metro tv itu bahwa prabowo tidak setuju konsep politik demokrasi melainkan fasisme karena demokrasi bertolak belakang dengan totoriterian alias otoriter. <br>Karna ada bukti nya itu video wawancara jurnalis asing yg pernah interview prabowo pada tahun 2001 lalu maka ini bukanlah asumsi"
Anita Ananda,"@backbone mudah2an bukan bermaksud menyindir orang yg merasa memiliki otoritas lalu berpikir otoriter dg mewacanakan perpanjangan jabatan Presiden, belum lama ini."
backbone,"Secara singkat, negara demokrasi berarti memberikan kekuasaan tertinggi kepada rakyatnya. Berbeda dengan negara otoriter yang berarti sistem pemerintahan politiknya berpusat pada seorang pemimpin.<br><br>Biasanya, pemimpin otoriter tidak dibatasi dengan aturan hukum dan membuat kebijaan negaranya sesuai kehendak pribadi."
backbone,Otoritas itu wewenang yg diberikan dengan mengadakan musyawarah terlebih dahulu namun klo otoriter itu kekuasaan yang sewenang wenang karena emang gak diharuskan untuk melakukan musyawarah dahulu
Anita Ananda,"@backbone Otoriter terjadi karena adanya otoritas,dan itu  bisa terjadi dlm bidang apapun, sekala tinggi atau rendah, besar atau kecil."
ANTO KOPI,"Kita cari penerus Jokowi, bukan pengganti,"
neng adit,btul
Sabar Pku,pileng saya mas Ganjar Pranowo menang di 2024
agus setyawan,Mas Ganjar untuk presiden 2024... tetep putih nggak beralih
La' Viory,Pastinya yg ubanan
Wahyu Umi,Survenya itu dari mana yaaa.... kalo bisa survenya itu dari desa.....
zharah 008,Gsnjsr tetap menang
aaaa,"Anis presiden terbaik<br>Ganjar 2 periode Jawa tengah propinsi termiskin,,cari presiden bukan petugas partai tapi petugas rakyat"
backbone,Gak semua partai itu memntingkan partainya saja.melainkan kepentingan nasional
Iskandard Kahard,Apapun hasil surveinya. Bagiku dan keluarga tdk akan pernah memilih partai dan capresnya yg ikut andil dalam kegagalan piala dunia U-20.
Eksan Difinubun,Omong kosong surveinya
Meliana Virginia,GANJAR MAHFUD ❤❤
Bapa Rohim,Siapapun wapresnya <br>Yg penting asli nkri
Indro Pramudianto,Semoga wapres nya nanti beliau sangat setuju
OGAN official,"YG MENJADI ANEH,,,,,, ANIES SELALU DI BAWAH SURVEYNYA TP MASIH AJA DI RAYU PARTAI2 NYA SUPAYA ANIES GAGAL NYAPRES,,,,,, ANEH,,,,KL ANIES SELALU DI BAWAH BIARKAN DIA NYAPRES TO PASTI KALAH KL SURVEY NYA AJA RENDAH,,,,,,,,,,?????????????????"
Saodah,merasa lucu kalau memilih ganjar gara2 viral..tapi kalau di tanya apa kesuksesan ganjar yang di raih pada plonga plongo😂😂😂<br><br>kuharap indonesia lebih cerdas bukan karena viral..
Roni Gunawan,@Saodah plin plan walaupun kenyataannya baik🤣 tapi kemungkinan besar pak Ganjar jugabyg bakalan jadi🤣🤭✌️
Saodah,@Roni Gunawan yang lain siapa meragukan..???aq mlhn penasaran ramalan gusdur tentang prabowo
Roni Gunawan,😅2 periode jadi gubernur sdh cukup modal😅ketimbang yg lain masih diragukan🤣🤭
Muhamim,Jossss...<br>Pokoke.....p..gp
Amel Ayu,Anis makin nyungsep...
swarnabhumi,Sudah jelas Johanes Anies Baswedan Capres Zimbabwe. 2024. 😆😆😆
ar joni,Survey kacang x...
Muhamim,Mantulllllll.p..gp...ol
Dylan Ismail TV,Survey bohong berbayar
backbone,Lembaga survey itu sdh trdaftar resmi di KPU sudah sangat lama dan hasil surveynya gaj jauh berbeda dgn real qount Dari KPU
Muhamim,Josssss.pokoke..p<br>.gp
ds1110op,"PDIP katanya gak butuh suara umat islam, krn hanya pdip yg punya suara yg bisa nyalonkan capres.... Mending sekalian capres n wapres nya dari PDIP..... Itu baru ksatria... Katanya pdip partai x wong cuiiiliiik, jd pdip bisa . nyalonkan dr kader sendiri"
Harianto Yan Adri,Ayo satukan barisan semua ttap solid bersama Pk Jokowidodo 😘👍GP yess
Sabaruddin Kiantar,Prabowo lebih pasti kenegarawannya. Jauh dari isu Radikalisme dan Komunis.
Sabaruddin Kiantar,@Boy Andiek betul itu
La' Viory,Siappp dukung GP
Boy Andiek,"Bersatu Gmn ?<br>Pendukung Jokowi,udah pd sadar Semua ..😀 Gak Mau Di Adu Domba..yg slalu Narasi Kebencian.cebong &amp; Kadrun...biar Hangus di bumi pertiwi ini <br>sebagian pendukung jokowi udah pada lari Ke pak Prabowo Yang Di Untungkan di posisi tengah..."
Sabaruddin Kiantar,Tunggu putaran kedua. Kami pasti gabung ma kubuh Anies. Sy dulu relawan Jokowi. Skerang Prabowo
Andik Kurniawan Santoso,"<a href=""https://www.youtube.com/watch?v=ox1WDX7MHKQ&amp;t=1m14s"">1:14</a> datanya salah 28.9% semua"
Maubere Lutador,Prabowo presiden presiden 2024
Bitter Channel Pratama,"Ganjar rapatkan barisan, pilih sesuai hati kalian, tak.perlu menjelekkan ..."
Bitter Channel Pratama,"@Ubai Dillah oke , berdemokrasi yg riang ya.. smngt..."
Ubai Dillah,Insya Allah pendukung pak Anis tdk menjelekan siapapun ok broo
Bapa Rohim,OK
Ya yuk,@Indro Pramudianto Aamiin 🤲
Indro Pramudianto,Setuju konsen buat cak Ganjar Pranowo gak usah urus capres lain hayo bergandeng tangan dan doa seluruh Indonesia yg dalam maupun yg bekerja diluar negri biar Cak Ganjar jadi RI 1 yg Amanah nanti nya
BG. YANN,👏👏👏👏👏👏👏👏
Widodo Wahyunugroho,Kalau rekayasa bisa juga Ganjar no 1 tapi kalau tdk rekayasa urutan ke 3 8% aja janganlah membodohi org sdh tau sering nonton bokep masih juga reking 1 terlalu
Taufik aziz Aziz boon,😂
Hadi Noor,"Hari gini msh percaya suvei bayaran? <br>Duit e-ktp yg di buat bayar survei, selebrasi kemenangan palsu 😂😂😂"
Candra Yana,LEMBAGA SURVEI WANI PIRO<br>        &quot; REZIM AKAL2AN &quot;<br>JANGAN MAU DIBODOHIN GEROMBOLAN MAFIA<br><br>( nyesel milih Jokowi )<br>INDONESIA JADI PECAH BERANTAKAN
Jago Jalu,Pasti kadrun bilang..ini pesanan...😅😅😅😅
Tiwan Karokaro,tidak valit
Avika65,"Saingan terberat ganjar bukan anis, tapi prabowo,, jika pilpres 1 putaran ganjar menanh, jika 2 putaran prabowo menang"
Nur Setiawan,Ganjar Pranowo capres pribumi Indonesia asli 💯 tulen sejati menang 🎉🎉🎉🎉
Bapa Rohim,Betul asli jawa <br>Kalo anis itu <br>Keturan yaman
Petrus Petrus,Betul Ganjar pribumi asli...
kalengrombenk chanel,Ini kalo yg survei kadrun..Anis bisa 120 persen😜
Hamzah Heru,Ganjar RI 1...☝️☝️☝️
ABD Rasyid,Yng surpay dajal sm iblis
Kage Dean,Ga sekalian ganjar 150% lol<br><br>Nanti saat kampanye diadu prestasinya aja
Rahmat Kartolo,"@Kage Dean baru survey lu udah kejang2. Penyakir iri, dengki emang susah diobati"
Kage Dean,@Rahmat Kartolo lol… ngaku pinter tp dibegoin lembaga surpe bayaran bangga bgt
Rahmat Kartolo,"Klo yg survey gerombolanmu itu bisa, anis 750%"
Badawi Al Khatiri,"Ikuti apa instruksi dari pak jokowi, pak jokowi tidak mau melepaskan negri ini ke Sembarang orang, ikuti komando pak jokowi, apa yg di endorse pak jokowi adalah orang yg mampu meneruskan cita cita pak jokowi, buat para pendukung jokowi Dan rakyat yg puas dgn kinerja jokowi selama ini, ayo kita rapatkan barisan untuk 1 komando bersama pak jokowi, lupakan pildun, saatnya kita bergerak untuk selamatkan negri ini dari kadrun2 yaman.. Takbirrrr...."
Bapa Rohim,Yg penting nkri tulen
Badawi Al Khatiri,@OGAN official jokowi tidak akan meng endorse airlangga. Jokowi hanya meng endorse ganjar sebagai capres dan prabowo sebagai cawapres..
OGAN official,"Pak jokowi  endorse ganjar jokowi endorse prabowo,,,, sebentar lagi jokowi endorse airlangga,,,,!!!!! <br>Silahkan bagi bagi aja yg di endorse jokowi,,,,,!!!!!"
Sidhin Ode,Yg survey kodok sekolam
Tiwan Karokaro,kami orag awam. kami gk perduli klo hsil survei itu tdk balik.krna semuanya itu di byr..apa lg klo cuma ptgas partai. waaaadduuuh. prabowo presiden
Roni Gunawan,Bilang bgtu karna pilihannya kalah🤣🤭coba klo menang psti diem2 aja seneng🤭
j@rmhp,Ganjar yes
Mohammad Gustaf,Survei bayaran
kus,Wassalam kadruner...kuatkanlah hatimu😅
sebut_saja daeng,Survey abal abal😅
Zaky Zaky,​@Rahmat Kartolo nyungsep ke sumur resapan wan abud 😂😅
Rahmat Kartolo,"Baru survey aja lu udah kejang2, apalagi nanti klo capres lu nyungsep"
susilo murti,"Sayapun bisa membuat survey untuk menaikkan atau mendowngrade CAPRES,  misal responden untuk ANIS diambilkan dari NTT atau BALI pasti jeblok, toh pihak lembaga survey gak perlu jelasin respondenya dari mana,  sekarang rakyat percaya POLLING."
susilo murti,"@Roni Gunawan monggo kalau anda punya anggapan seperti itu, karena semua orang punya perspektif masing masing, karena saya berdasarkan fakta, contoh POLITIK IDENTITAS klik ARNITA RODELINA TURNIP mahasiswi cerdas yg dihentikan beasiswanya oleh BUPATI  karena .......,  BUPATI adalah jabatan politik ( semua jabatan hasil pilihan rakyat  )."
Roni Gunawan,@susilo murti klo nte pencari kebenaran &amp; netral pastinya tau awal mulanya🤣😅silahkan renungkan .
Roni Gunawan,@susilo murti 🤣berati ada terlalu sepihak🤣langsg ditelan mentah2 berita &amp; framingan🤭semua psti ada sebabnya 🤣
susilo murti,"@Roni Gunawan itu kata kata normatif, bagi saya itu tidak cukup,  harus ada keberpihakan dg yg benar dengan ukuran dan standard yg bisa dipertanggungjawabkan misal  ANIS intoleran, tapi gak bisa nunjukin kapan dan dimana aktifitas itu dilakukan, ada yg bilang ada spanduk JANGAN SHOLATI dsb, pertanyaan apa yg buat ANIS ? mari kita merenung tentang SEBAB AKIBAT, seandainya AHOK gak bilang KAMU DIBOHONGI AL MAIDAH pasti gak ada spanduk itu."
Roni Gunawan,"@susilo murti 🤣kn udh dibilang mw dikit ato banyak akan hancur lebur dengan sendirinya,biarkan mereka yg mendapatkan balasannya🤣"
B.M.S.channel,aku orang jateng tapi tidak tertarik dengan Gsnjar pranowo😂.
backbone,Munafik
Mawar Merah,Sak karepmu kang....!!<br>Nanti klo pak GANJAR menang km jgn tinggal di Jawa Tengah malu nt klo ada bantuan km ikut makan....!!<br>☝️☝️☝️🙈🙈🙈🤣🤣🤣
suratno 63,hasil survey hoax...lembaga survey yh tdk.bisa dipercaya ..pembohong..
Farel Alviano,TUKANG SURVE  DINAMA  SURVENYA DI ATAS LAGIT APA DI KEBON KOSONG
ds1110op,"Apa gak ditambah yg disurvey. No. 4 Megawati Sukarno putri, no. 5 , Puan mahari no. 6 Abu janda. No 7.deni siregar no. 8.ade armando. 9.giring ganesha, 10.grace natali, 11. Napi Romi.. Hasil simulasi gimana  ? Orang waras akan milh abu jandan n wapresx giring"
HOT_Man Jr,Makan tu survey ...realnya nanti pada nga nga
M Panjidinihari,Coba bahas hasil folling yg respondennya ratusan ribu..
Roby wuarlela,Pak Ganjar...presiden RI....🇲🇨🙏
Bapa Rohim,Nyata <br>Wong survenya <br>Paling OK
Dawin Rotto,Mimpi di siang bolong...
Supar Dijana,GANJAR PRAHORO NOL PRESTASI
Ma'mun Rizal,Ter atas malu nya .... mak aku aja mas anis
ilham gg,yohanes 15% nyolong suara dr kampret 🤣🤣🤣
D J,gue Ganjar!!
D J,@Rafanda 2018 egp
Rafanda 2018,aku ora
Wajun Sadi Uhang,PRABOWO RI.1 YESS
eka STM45,Survei palsu
Yem Arsyad,Saya mendukung ganjar tapi saya tdk percaya semua lembaga survei di indonesia ....katanya semua abal abal
backbone,"Hidup itu gak boleh dipukul rata bro, krn selain ada yang gak bener pasti ada juga yg bner"
Blasius Loba Channel,Tetangga sblh psti sakit hati melihat ini.
Lianto Lianto,LSI Paling Terpercaya<br><br>   Selain LSI Saya Cuma Tersenyum Alias ???
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Terang dunia,Om ganjar.. NTT SIAP DUKUNG
Heri Doank,TAPI BOONG
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Rizardi Karnas,survei abal abal
Rizardi Karnas,@Badawi Al Khatiri nanti K A L A U.....Menang.......= P A S T I ....Kalah.
